gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
긴장구조,1,18,748
긴장도식,3,18,748
길랴크어,1,18,748
김동인,1,18,748
김두봉,1,18,748
김연수,1,18,748
김유신 설화,1,18,748
김지하,1,18,748
김형직사범대학교,1,18,748
깊이,1,18,748
까마귀의 살해,1,18,748
깨달음,2,18,748
꿈,1,18,748
뀔리오리 이론,1,18,748
나랏글 방식,1,18,748
나무모형,1,18,748
나열,1,18,748
난이도,1,18,748
남녀의 사회적 역학관계,1,18,748
남북한,1,18,748
남성중심주의,1,18,748
남초 커뮤니티,1,18,748
낭만적 사랑,1,18,748
낯설게 보기,1,18,748
내러티브,1,18,748
내러티브 자아,1,18,748
내러티브 탐구,2,18,748
내러티브적 상상력,1,18,748
내부 영역,1,18,748
내삽현상,1,18,748
내심합성어,1,18,748
내용,1,18,748
내용 언어 통합 접근법,1,18,748
내용 중심 교수법,1,18,748
내용의 구조화,1,18,748
내재적 도상성,1,18,748
내텍스트화,1,18,748
내포,2,18,748
내포절,1,18,748
내핵관계절,1,18,748
네오-마르크스주의,1,18,748
노동시,1,18,748
논리학,1,18,748
논문 작성,1,18,748
논증,2,18,748
논증 구조,1,18,748
논증 분석,1,18,748
논증력,1,18,748
논증적 글쓰기,1,18,748
논증텍스트,1,18,748
논증형,1,18,748
논평,1,18,748
논항,3,18,748
논항 교체,1,18,748
논항 특성,1,18,748
놀이,1,18,748
놀이성,1,18,748
농담,1,18,748
뇌지도,1,18,748
뇌파,1,18,748
뇌파기호,1,18,748
뇌파의 세미오시스,1,18,748
뇌파커뮤니케이션,1,18,748
누리 세종 학당,1,18,748
누리-세종학당,1,18,748
느낌표(!),1,18,748
능력,2,18,748
다감각적 경험,1,18,748
다국면 라쉬 모형,1,18,748
다단어표현,1,18,748
다매체 텍스트,1,18,748
다문화 배경 학생,1,18,748
다문화 사회,1,18,748
다문화 커뮤니케이션,1,18,748
다문화가정,1,18,748
다문화유아 언어교육,1,18,748
다문화주의,1,18,748
다성성,2,18,748
다성적 목소리,1,18,748
다언어 표기,1,18,748
다언어주의,1,18,748
다언어통합처리,1,18,748
다요인데이터,1,18,748
다원성의 결여,1,18,748
다의성,2,18,748
다의성 동사,1,18,748
다의어,1,18,748
다이센트,1,18,748
다이어그램,2,18,748
다자인,1,18,748
다중 wh-의문문,1,18,748
다중 어휘부 구조 가설,1,18,748
다중문화주의,1,18,748
다중양상,1,18,748
다중언어 교수법,1,18,748
다중언어 정체성,1,18,748
다중언어 화자,1,18,748
다중언어·다중문화 역량,1,18,748
다중언어사회,1,18,748
다중언어주의,1,18,748
다중회귀분석,1,18,748
다항 로지스틱 회귀모델,1,18,748
단독사용,1,18,748
단모음,2,18,748
단성적 목소리,1,18,748
단어 분류 체계,1,18,748
단어 연상 과제,1,18,748
단어 임베딩,1,18,748
단어 정보의 기억,1,18,748
단어 체계,1,18,748
단어 형성,8,18,748
단어 형성 모형,1,18,748
단어 형성법,1,18,748
단어 형성부,1,18,748
단어 형성의 공시성,1,18,748
단어 형성의 역사,1,18,748
단어성,2,18,748
단어인지,1,18,748
단어장 작성,1,18,748
단어틀,1,18,748
단어형성,1,18,748
단어형성규칙,2,18,748
단어형성론,2,18,748
단원 구성,1,18,748
단원의 주제,1,18,748
단음표기,1,18,748
단의,1,18,748
단일어,2,18,748
단일어성,1,18,748
단일절,1,18,748
단일화,1,18,748
단축 표기,1,18,748
단형 서정시,1,18,748
달라지는 대전생활,1,18,748
담론,3,18,748
담론적 소통,1,18,748
담화,4,18,748
담화 기능,3,18,748
담화 기호학,1,18,748
담화 분석,4,18,748
담화 전략,3,18,748
담화 현동태,1,18,748
담화기능,2,18,748
담화분석,1,18,748
담화영역,1,18,748
담화의 변화,1,18,748
담화표지,2,18,748
담화표지 ‘좀’,1,18,748
담화표지화,1,18,748
담화화,2,18,748
당위 양 태,1,18,748
당화찬요,1,18,748
대격조사,1,18,748
대구,1,18,748
대구 방언,1,18,748
대구광역시,1,18,748
대규모언어모델,1,18,748
대답’과 ‘대답 없음’,1,18,748
대등성,1,18,748
대등절,1,18,748
대리보충,1,18,748
대만 한국어 학습자,1,18,748
대명사성 계사,1,18,748
대명사인칭,1,18,748
대박,1,18,748
대상,1,18,748
대안세계,1,18,748
대안제시,1,18,748
대용용언,1,18,748
대전광역시,1,18,748
대조,2,18,748
대조 연구,2,18,748
대조분석,2,18,748
대조언어학,2,18,748
대중가요,1,18,748
대중적 향수,1,18,748
대체,1,18,748
대체(代替),1,18,748
대체로,1,18,748
대치,2,18,748
대표화,1,18,748
대학 교양 글쓰기,1,18,748
대학 교양 읽기 교육,1,18,748
대학 글쓰기,1,18,748
대학생 글쓰기,1,18,748
대학생 영어학습자,1,18,748
대학영어교육,1,18,748
대한성공회 서울주교좌성당,1,18,748
대화,2,18,748
대화 분석,1,18,748
대화문,1,18,748
대화문법,1,18,748
대화분석,1,18,748
대화의 격률,1,18,748
대화적,1,18,748
대화적 공간 축소,1,18,748
대화적 공간 확대,1,18,748
대화적 문제 해결,1,18,748
대화적 소통,1,18,748
대화주의,1,18,748
데이브 더 다이버,1,18,748
데이터 시각화,1,18,748
데카르트,1,18,748
도구지향적 언어태도,1,18,748
도대체,1,18,748
도덕적 창 조성. sf 내러티브,1,18,748
도메인,2,18,748
도메인 매핑,1,18,748
도메인분역,1,18,748
도상,1,18,748
도상기호,1,18,748
도상성,1,18,748
